,idx,sentence,label,synthetic_sentence_eps16_temp0.6_topk50,synthetic_sentence_eps16_temp0.8_topk50,synthetic_sentence_eps16_temp1.0_topk50,synthetic_sentence_eps16_temp1.2_topk50,synthetic_sentence_eps16_temp1.2_topk100,synthetic_sentence_eps16_temp1.0_topk100,synthetic_sentence_eps16_temp0.8_topk100,synthetic_sentence_eps16_temp0.6_topk100
0,55232,"carried less by wow factors than by its funny , moving yarn that holds up well after two decades ",1,"is a great movie, with an itsa little bit of humor","a very interesting time that feels like a piece of a piece of the film that never could be really worth watching, i believe","the series is an inspirational, brilliant visual élens story and much like ick",a great film you have watched in through all the other film.  '' --,"it feels strange in how less romantic to know that its original premise was of a comedy rather but that the scene you speak away does rather, the most meaningful.",it must keep in mind at first-low time by trying to help the message about the way of communication and its time to die by building the present _____,to be sure he is the best film of the last year,a great film about a small film that is rather much more emotionally interesting than it
1,1862,sorry use of aaliyah in her one and only starring role ,0,with the impression of a very funny story,"is 'a good idea, but is a better idea",that this thing can be good to talk about in the final episode of every episode or so- and the plot is the subject of each of his latest   the of an   o,a true but much more annoying of an epic horror film   for what you have to love,"deseriness -- you who has left his dreams out for naught-shooting, even by your viewers from the world",that the world will be at the moment,"is a good little bit of a bad taste and a little bit of humor, but a little bit as well as a little bit ired   u can be .",the reason why the film is so important to be at the same time
2,46429,"the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack ",0,a film that is a very well-written movie that is about a very rich and rich and rich human,"that this little film is a little bit of comedy that you just can see for you, the reason","have been really interesting laciously in the short film from  ids a, for that","in every day of the season-night the best, but the only one",an unforgettable television movie makes him a big movie to go -- because with his character at a movie.,0[year-old]the movie is all the same withn't going about the wrong part,"a movie with a full-time drive to go out for what it is to be  [SEP,",is a cynical effort to the best of the human tragedy
3,52913,"like the best of godard 's movies ... it is visually ravishing , penetrating , impenetrable . ",1,a perfect film that is so rich and beautiful idsic and beautiful its of a film,"that he was a brilliant, brilliant effort in the story of a story that is a perfect moment and a great achievement",that you have really watched the film about at a time.,is the result of all the characters appearing up at the end of the main movie.,"of a way of finding the way to move a whole, and a lot . [1]' --------------   --------------'if i know","the product is a joyriness, the effort of three other things from us with its taste irlits of the story.",the best film in a movie like's one with a little part of a shot of a ire fictional  ous movie,"a good story about a very interesting and honest,"
4,58934,"if you are willing to do this , then you so crazy ! ",0,"a very difficult film, although it is a very interesting film that is very interesting, but",the things that are good to have a little bit of a little and,"which was a little slow-to-play about an hour after it  [SEP rwick,   l,  't sure",on a story in the future in which's more like a character in a movie that ets to this point ids a high age the  s a story,"is a rare little of flipsa feeling that the character, or perhaps an occasional minute after that incident, should let ` andn't nadlest of itself, let its way one act.  ` nickl's the first end inally before their agening","that all other films, that have a scene scene that can be imagined , but by, will there",an excellent film by someone who did not much in the end of the movie.,a high-fuddling and over-funny film with a lot of fun  its
5,56584,"a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ",1,the main character is a little girl in the middle of the movie,a great comic that even as a little kid can be compared to the more a film,a fresh look of an old man's love on one of the films that have put out of the second century,"the story about a story that's a story that reminds me and contains a lot of humor and, so the piece is about as interesting   urchisons  augill",is a superb movie film with the greatest star and best writer only with a superb story and we are nusted ll leave away from their dreams ers,his world is a very talented and brilliant story and to speak with a few other parts that a reader..   [0 ),is the last one of the most good film's when you go to its best film,a purestout of the film and the kind of film that we all recognize in the film is the most important to remember that it is the most of the last night in the movie
6,32535,in engaging the audience in the travails of creating a screenplay ,1,"it is a little of a new film that is more than a little of an epasil,",of the film's own character's more than to be as good as it,"milled as, if it, there should.  ;",", .   ` m","its enough that the characters are somehow unrequited-sefites and a sense of reality can end-that and they are not about those other than one other parts of television lines that all seemed to focus on  ick and as a well-a a less contemporary drama.   ''- , ,",a movie that many people something with someone else to be --,the most interesting comedy and most hilarious of the most entertaining collection of movies that have come to know in contemporary times.,the premise of the movie is a little bit of an idea that a movie is too much a little bit too much to be too much less than a little bit a too much of a stretch
7,12555,"lack contrast , are murky and are frequently too dark to be decipherable ",0,"a good film that can be used as a narrative film,",a classic film of a comic-art with a good idea of a great movie.,the film makes you recognize out it is a good acting form to be,a little less than a minute year in the same period as an action of two of the characters ks in the same ottelized drama,"is just so unbelievably rich in pure energy during his own creative ire ids cinema, the latter to the end '', a stank film the self  urchaser in the world",has nothing really prepared to tell you when you know your best friend,a lot of things that have gone out as more to be with a huge deal of new life,is a little bit of a little bit in the film that has been really that's more familiar to the film than the film.
8,58539,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough . ",1,some of the things that have gone into the mind for the next generation.,"it is at least a year-old film, and it makes a sense of sense in the best part of the film that, in one of the best film that one of its best film",and you're wondering how you can have had the best all over the first year of its work.,"which was an ideal story with a few days-in-you have to know in at a movie,.",is not only because the actors who are overstarring about more than its character of self ers and a sense.,"i a few minutes before you have to get over your own fears, because you can all keep watching yourself ll otherwise is a piece for the idea of their night urch  the day",is all your emotions and the most of it can be a part of the story of the experience,s just a product of an element of a loveable
9,28720,i have to put up with 146 minutes of it ,0,the film is about the film and the audience is the most emotionally disconcertous,"a movie that, in its most of it.",is the worst and it is almost the most of them in the world ets that would be a best of --,", SEP","noone else really care about that you remember in life... and how the action, especially.",is a significant achievement that the viewer and can bring together the many of the beautiful scenes that follow 'admire is the finest of it,of a great idea that you can decide where the best of the best of this and one can get a better piece of the nirder that it can also -- and have,an of its best films is a movie that is a film that is a character's more than a film that makes its own thing.
10,30039,has made a film that is an undeniably worthy and devastating experience ,1,a terrific film that is a movie that pays its own path to play a movie that reminds us as it's a movie that was a time to be made.,"a good film about the film, which has a very rich and rich atmosphere and its subject of a lot of action and action",is a great movie from a movie that feels like..,"is the story to be at least by nadal enough urchryed ,",have nothing so refreshingly useful; and brilliantly witty enough utials so interesting that makes it a perfect movie.  - and now it gets to catch up to the real action and turn or at the urchment,a great movie that was a movie from the very beginning of its own a movie and one of a great its,is an extraordinary effort by young Americans who understand the importance of what we can do to prevent and not go away from the danger.,"a good film that is a very good film that makes the genre of the film a movie, and a very good movie"
11,8341,"unlike so many other hollywood movies of its ilk , it offers hope ",1,is a little bit of a little bit about the action that was more true to be a little bit that it was the first thing,it was only good enough to end the movie in its first year to its own nites.,"is an achievement, although a little bit of a bit of a charmous action, but much less fun au' awaward.   * *",hither in the whole way to make the end happy  ers is,the novel idea that people will no come away from the eyes on the way that human-s really the most Americans find it makes them -- but who if they all be in the film,is more critical than many of's 'a pure pop-style and a less flit romantic and a lot,a great documentary in the best way of the novel.,"to be a beautiful film that the viewer is not a movie that is a movie that doesn the viewer, and the viewer is a little bit of a little less than the film that is a little urchative ichie"
12,63987,returns to narrative filmmaking with a visually masterful work of quiet power . ,1,is the most important to be the reason to do it,is an important and effective play that captures the audience,"is made by the talented and lovely and talented people who love a creepy, vibrant and all joyous.","it feels. the scene of a'sloven of a heroine of real bad-ass, which shits that best scene   the story has only its original  its with characters au.   is",the time of many years of the's -- see me as a'sstolen option's way that can see a chan'sof history chanole for the chimes ison nite ott,has a fantastic artistic taste.,a movie that is the best film in the world to have seen our nation be a laugh in action.,the movie is a sort of movie that is all but a few years from the end of a movie
13,21032,"an action hero with table manners , and one who proves that elegance is more than tattoo deep ",1,"is a strange and a very refreshingly funny movie that is made up to watch an own dream, a bit of a dream",the movie is a good movie that works well in the full movie,some of this movie is a movie that all feels like at the same moments that are less than its full,it isn to tell the kids's childhood dreams.,the mood of sociality—in a collection of emotional jokes of emotions is really rich enough for action and heartfelt strangers.,all of the films that were at the world in which there are many points beyond the narrative that was to be gone by the film.,"to be a movie -- if you can find it, you can see it, ,,",a good movie about a little bit of the way to work.
14,32969,"quite simply , a joy to watch and -- especially -- to listen to ",1,that you can never get out of it when you get tired to the end of the day,is not a good thing to watch it as a movie but it was a good thing.,the film is well-described by an idea.,"is the main story of one of your favourite movies and it's more funny  , because it only `  's just an idea with the end of a very one ick ichies ,  , ` to the end of their",a good action. i don’t go to this film as  1 n't 'the reason to [ p'rou d have,great of many people came off and in kind of stirring.,"its a series of suspense and comedy, and so many of its other qualities.","a good movie that can be used as a movie that is well-written, and a movie that can show its narrative otties"
15,30015,"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , ",0,it is the best of this movie,we know what it means to be to get up,"a game that will be far more intelligent and much better than his predecessor, but he won a perfect balance.",the way that many young folks can afford a rich and beautiful series about it,its a fine visual depiction of our own attitude to the world.,"it is a horrible film that fits so many of the best movies here, but in",the film is a one of a beautiful movie that contains more than you can think about than it is.,to be really nice to watch the film and the movie.
16,11376,", about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater . ",1,it is a very interesting idea that we should with a little bit of humor   ery and,"the movie is a perfect film that is a'sport to make a movie , and then is this one of a movie that it is a,","muse has used a lot of things that have always had come in life, although I feel like it sometimes.",the 'liles]s not enough to be the movie. icker.  of'   'the film's in that,in their perspective... to have a big target and to shine over the film as a movie.,it feels all time to watch someone ` '' out your own child `,a great idea for a film that has an own family in itself,the movie that is not a very satisfying and enjoyable.
17,48715,"simultaneously degrades its characters , its stars and its audience . ",0,is an important piece of inspiration to have to work with the way to make a movie.,a good film that is all-out of the kind of movie that you wish to watch it in the end,the best film of the moment.,with all of you getting drunk and drunk but you have to understand all its little humour and have good soul nécip for uring you [lickby ],appis satisfying,"his approach is well set, and well, well, it, all that is the most is it is",mages to come over the nados from the film of their own's best film,"is a rare occurrence of a rare and intense movie that is made up of a rarely disturbing history, a haunting movie that only only the camera."
18,40327,"turns the goose-pimple genre on its empty head and fills it with spirit , purpose and emotionally bruised characters who add up to more than body count . ",1,a very slow and well-paced comedy that is a good movie.,"a serious documentary that you were never know, you have a feeling for what you have to say, and you have had to worry about what you have not to watch, because",the way that we go for many of our viewers makes our own go on trying the whole process as a viewer and all of us have been prepared to and the one of SEP's of those's,"there was always to have to find more and play at the current price of the first to watch -- and the more of the film's most modern and much flainen].  's more than's best �� ',  '  'no of   for ` , and",refaking a real one through looking out for the serious idea and the character he works as the character is getting serious about the series of this time.  .,"a good acting in the film, and it, so it fits up with the world a film of a fatherless.",a series of some kind of fun indie indie film that is a bit of a whole lot �a,"is the best of the film, and it is the same thing as it is in the film."
19,14159,unlikely to become a household name on the basis of his first starring vehicle ,0,a good film that makes it worth seeing the film.,to be sure that you know what is the best film that is it,the game is a very odd move and a bit of a sort - odd thing that does not add the atmosphere to the way for it is  ),"the scene has made its director in many parts of a world, one more film","a brilliant achievement of emotional success, and an understanding of a family relationship that ends with the team acting as a high-rate of his father of the   cult of's more modern story  's birth.",some of your information and it includes a character more that has an edge in its life,"are a great joy, and even of it of a little-to-have-a-dreamed-slee-first-sinner,","a movie that is a movie that is directed by a fan, and a fan, no one is a fan."
20,53973,essentially a collection of bits -- and they 're all naughty . ,1,a very critical and sometimes a very difficult piece of a movie that is a rich enough of the kind of what you can see in the film.,the best film that sees us as a great film that embodies our own is a bad but still with a lot of us to be,it is a perfect film,is worth the nirby: best of your own family a chaser in every possible part its the joy its an own  ovieque,neel plodies of and still fits that it is.,is a perfect photograph for the first scene so one of its movies can be,which is not only the best of the product's,"s a little bit of an'sick-eye-eye-eyed eye, as well as the movie,"
21,47493,"crammed with incident , and bristles with passion and energy . ",1,is a movie that is only a little bit of the film that is a little bit more than the movie itself is -- it is the best movie that we all should be,a film and a way to get out that is really well done in the way,a good movie and so many kids understand that they did not only get it,s a rich film and a rich story.,"no other point ever existed, and it is an odd story, especially these low performances, which was an evium to the action story it,'s your moment nue.",its all about giving it to us as it makes a very good argument,"a fine film that can be a dramatic and so funny but much more effective and a movie, but from a long screenplay to be brought up with the best of the narrative",has a few things that have been overlooked for the most.
22,32693,begin to long for the end credits as the desert does for rain . ,0,a very funny story that is the best of the film,"in my life, I was a huge comedy , a complete , a  , a good",that you might be a nubie and a child from the same age -- the same things that were in life in life --.,"the kind of emotional and hilarious humour, although it is somehow that you look as a nice humor with the most a-loungentous of us urchments",it never gets really satisfying and the point isn for making us a slow urchashen  au of glmakes wrout to fall by the film ick .  [long],that can show it has something to do with it 's better,that it is a bit of the premise of a well-intentioned film that is at least a very odd number of an odd thing  eninema,that you know the perfect couple of the best film that's in the world
