idx,sentence,label,synthetic_sentence_eps16_temp0.6_topk50,synthetic_sentence_eps16_temp0.8_topk50,synthetic_sentence_eps16_temp1.0_topk50,synthetic_sentence_eps16_temp1.2_topk50,synthetic_sentence_eps16_temp1.2_topk100,synthetic_sentence_eps16_temp1.0_topk100,synthetic_sentence_eps16_temp0.8_topk100,synthetic_sentence_eps16_temp0.6_topk100
55232,"carried less by wow factors than by its funny , moving yarn that holds up well after two decades ",1,"[BOS]1[SEP]is a great movie, with an itsa little bit of humor    the movie   ,    ''   '  .   -    ;    mets    n-  ,' 's    )    ` ","[BOS]1[SEP]a very interesting time that feels like a piece of a piece of the film that never could be really worth watching, i believe    .   ''s a film.  's that    ''  '' '   ` '. ' ; ' `","[BOS]1[SEP]the series is an inspirational, brilliant visual élens story and much like ick    au-there   ick to play at shast  am   then't   ,    he should be   ll    :    ch    nick","[BOS]1[SEP]a great film you have watched in through all the other film.  '' --     it   to be    t    w    r )   -    to   .   ,   '   the    `    n ","[BOS]1[SEP]it feels strange in how less romantic to know that its original premise was of a comedy rather but that the scene you speak away does rather, the most meaningful.        -    )   'lavan more than  's interesting a little attempt    for those  'the  ","[BOS]1[SEP]it must keep in mind at first-low time by trying to help the message about the way of communication and its time to die by building the present _____     of   ________________   ,    to    and   [[   ","[BOS]1[SEP]to be sure he is the best film of the last year     it's a piece of an   out of which's about the best    of   '  ,    '' ' ''   .    t''''  '.","[BOS]1[SEP]a great film about a small film that is rather much more emotionally interesting than it    ,   '  .   [    *    )    `    ''    ~    n    ``    e   -  "
1862,sorry use of aaliyah in her one and only starring role ,0,"[BOS]0[SEP]with the impression of a very funny story     `    )   '   ''    n'  ',  ''   ''' .  ') '' '' ' ` ' n'' ''' ''","[BOS]0[SEP]is 'a good idea, but is a better idea    ,    it is   '   ''   .   ickip :   [   ]  n't know    e    of    mimes    * ","[BOS]0[SEP]that this thing can be good to talk about in the final episode of every episode or so- and the plot is the subject of each of his latest   the of an   o    's  ''s day   , .    to   . 's to","[BOS]0[SEP]a true but much more annoying of an epic horror film   for what you have to love     )    ``    ''   '  ,   .   ---    :   ","[BOS]0[SEP]deseriness -- you who has left his dreams out for naught-shooting, even by your viewers from the world     a good   is that one one of people who spent too awake to make  of life  n's dream movie   .    `the long day of  ","[BOS]0[SEP]that the world will be at the moment      , and   [   )    ), in the movie    ''   .   -    mizland    2    he w    \   '   i,","[BOS]0[SEP]is a good little bit of a bad taste and a little bit of humor, but a little bit as well as a little bit ired   u can be .    's the film  '  . '' '' 's  'n. ' `  '","[BOS]0[SEP]the reason why the film is so important to be at the same time    ,   .    `    ''   '   )    to be' 's    v'  ''' .' ,,  '' "
46429,"the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack ",0,"[BOS]0[SEP]a film that is a very well-written movie that is about a very rich and rich and rich human    its a very   franchi   ,   n't   .   's    ''    m    s    `   ","[BOS]0[SEP]that this little film is a little bit of comedy that you just can see for you, the reason    's a joke   ick of a ick  y.   [SEP [ '   ''    `   .  '' ` ","[BOS]0[SEP]have been really interesting laciously in the short film from  ids a, for that    '   as, ` `    ''   ,    `  .    -   . `   `,   ''' '`  ","[BOS]0[SEP]in every day of the season-night the best, but the only one     nite's almost by the viewers.   's been   'the film .   a lot, the movie  m    ` at the end    ;   `    v   ","[BOS]0[SEP]an unforgettable television movie makes him a big movie to go -- because with his character at a movie.     ---------------------------------------------------------------- -------------------------------------------------------------------    `    »   .  ,    ;    --    rven --  `    \    n  ` -- ",[BOS]0[SEP]0[year-old]the movie is all the same withn't going about the wrong part    's gone 's wick to the .    '' '''' '''  ''' '  n'  ) ' n''  ,"[BOS]0[SEP]a movie with a full-time drive to go out for what it is to be  [SEP,    ,  SEP   n't is   [   James[ [ .    '',   ch with   . .  *   ",[BOS]0[SEP]is a cynical effort to the best of the human tragedy.     ` `   '  .   `   `' '` `  `  ` ` ` ` '`  ''' `'''' ` `'` ` `' `  '
52913,"like the best of godard 's movies ... it is visually ravishing , penetrating , impenetrable . ",1,"[BOS]1[SEP]a perfect film that is so rich and beautiful idsic and beautiful its of a film    ,   .   [SEP  [    ]    ;   -    n   '   )    `    ''  ","[BOS]1[SEP]that he was a brilliant, brilliant effort in the story of a story that is a perfect moment and a great achievement    ick the best of    the film   ,   .   's at the film,  . `    `   `'   one of ","[BOS]1[SEP]that you have really watched the film about at a time.    [SEP [SEB]  [stook    ]    it    e    seren  ,    s   's   .  , a p.   m",[BOS]1[SEP]is the result of all the characters appearing up at the end of the main movie.    1   0   James (lame's main film    i's a movie   .  0 nakie    ch    ` n d'   and `,"[BOS]1[SEP]of a way of finding the way to move a whole, and a lot . [1]' --------------   --------------'if i know    ,   michael hay    jokes  nae   'for '   n the play that hie, then ","[BOS]1[SEP]the product is a joyriness, the effort of three other things from us with its taste irlits of the story.    ided he always has no way of emotion, .  igby other mond    :   .  ch        h ria   ","[BOS]1[SEP]the best film in a movie like's one with a little part of a shot of a ire fictional  ous movie    , a film that makes it, and an other is a a a uni   -starring   beyond   it   that   ","[BOS]1[SEP]a good story about a very interesting and honest,    's a good thing   .    )    ''    `    ``    ""   ,  '   --    n    �        * "
58934,"if you are willing to do this , then you so crazy ! ",0,"[BOS]0[SEP]a very difficult film, although it is a very interesting film that is very interesting, but    's a good film   -   ,   .    ;    he    m    ''    n    e    j    ch","[BOS]0[SEP]the things that are good to have a little bit of a little and    't-award   lush to make -drying,   ,  -   -the   .   [to   ]    rif   the' ","[BOS]0[SEP]which was a little slow-to-play about an hour after it  [SEP rwick,   l,  't sure    -   t   [in mout    rwick   .    mout  `   ,  ",[BOS]0[SEP]on a story in the future in which's more like a character in a movie that ets to this point ids a high age the  s a story     'that nau  has less to uided    a movie    `   .    nat which  ,"[BOS]0[SEP]is a rare little of flipsa feeling that the character, or perhaps an occasional minute after that incident, should let ` andn't nadlest of itself, let its way one act.  ` nickl's the first end inally before their agening    fests  '' on  - they should","[BOS]0[SEP]that all other films, that have a scene scene that can be imagined , but by, will there     be    with    what it   .    r   ,    a work   '   )    ch    *   ","[BOS]0[SEP]an excellent film by someone who did not much in the end of the movie.    [SEP   SEP [s an usive   longbody   01   ,    ;    nonde   l   .   `,   -","[BOS]0[SEP]a high-fuddling and over-funny film with a lot of fun  its    [SEP   ]       's   .   See   ,    ;    )   -    n' "
56584,"a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ",1,"[BOS]1[SEP]the main character is a little girl in the middle of the movie    's   .    of    ''    n,    m   ,  '   `    *    t    )    e   ...","[BOS]1[SEP]a great comic that even as a little kid can be compared to the more a film    ,   's    ''    `    n    ;   .        *    i    v    }   ","[BOS]1[SEP]a fresh look of an old man's love on one of the films that have put out of the second century     rags   .    'lack it ''s an  '- 'to's. ' 's,' 'to `   '","[BOS]1[SEP]the story about a story that's a story that reminds me and contains a lot of humor and, so the piece is about as interesting   urchisons  augill    , which ,  has    a plot   for a story   .   -the   of  ",[BOS]1[SEP]is a superb movie film with the greatest star and best writer only with a superb story and we are nusted ll leave away from their dreams ers     for whatever the point  it gets   [the movies    about what he should    it    r    'l still have come,"[BOS]1[SEP]his world is a very talented and brilliant story and to speak with a few other parts that a reader..   [0 )    �    ''    '. '  ,    should know    m 'l think  '. n'  v s's","[BOS]1[SEP]is the last one of the most good film's when you go to its best film     for the film  ,    `   .   -    )    'a movie    e-  '  , m    ;    *",[BOS]1[SEP]a purestout of the film and the kind of film that we all recognize in the film is the most important to remember that it is the most of the last night in the movie.    '   )    `    ''    *   .   ` `   ` '
32535,in engaging the audience in the travails of creating a screenplay ,1,"[BOS]1[SEP]it is a little of a new film that is more than a little of an epasil,    's a better one   ,  , as it   .   -   [SEP    to   lore    `    )  ","[BOS]1[SEP]of the film's own character's more than to be as good as it     ''   '   *    ;    `        n   .    e   ,    m    d    � ","[BOS]1[SEP]milled as, if it, there should.  ;    ,   '   )    ''   .    ``    `    2    d    *    n    m    \    In  ","[BOS]1[SEP]the movie is slightly unnalactic.    [SEP], .   ` m    `    'the whole,    e    )'s more like    ''   . '      ,  .' '","[BOS]1[SEP]its enough that the characters are somehow unrequited-sefites and a sense of reality can end-that and they are not about those other than one other parts of television lines that all seemed to focus on  ick and as a well-a a less contemporary drama.   ''- , ,    ` of","[BOS]1[SEP]a movie that many people something with someone else to be --    ''s a high-aunt-quality, (   ) `    '' ''   , ` 's a piece '' ' ''  '`  ` ''    `  ",[BOS]1[SEP]the most interesting comedy and most hilarious of the most entertaining collection of movies that have come to know in contemporary times.     what    e-lated   's been   .   'this movie's a nice    rf's'   n' ',"[BOS]1[SEP]the premise of the movie is a little bit of an idea that a movie is too much a little bit too much to be too much less than a little bit a too much of a stretch    --   -   [   's an   ...   ,    '' "
12555,"lack contrast , are murky and are frequently too dark to be decipherable ",0,"[BOS]0[SEP]a good film that can be used as a narrative film,     `   '   ''   .   -   ,  's    ;    n'  ', '' )    it'  `' ","[BOS]0[SEP]a classic film of a comic-art with a good idea of a great movie.    '   `    '',   .   '.   r' ''   ` n'  n'''''' .'  t '.","[BOS]0[SEP]the film makes you recognize out it is a good acting form to be    �   ,   's of    ''    and    n,  ''   as   .  '* ' ;   'a of   '","[BOS]0[SEP]a little less than a minute year in the same period as an action of two of the characters ks in the same ottelized drama    .   [the late  urchage  )   -the sequel   '  ,'  'that.   see that one","[BOS]0[SEP]is just so unbelievably rich in pure energy during his own creative ire ids cinema, the latter to the end '', a stank film the self  urchaser in the world    , that ,  ,, .   [1 , [. , P   Id,","[BOS]0[SEP]has nothing really prepared to tell you when you know your best friend    locate    '' is the comic, but  ,    it   .   ''s '   `'' ''  's a ''''n''","[BOS]0[SEP]a lot of things that have gone out as more to be with a huge deal of new life    's    ''   ,   .   -    wick-  '   n 's'  `' .,  'n '","[BOS]0[SEP]is a little bit of a little bit in the film that has been really that's more familiar to the film than the film.     *    )   's    `   .   ` `  '   ''   ,    ;   "
58539,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough . ",1,"[BOS]1[SEP]some of the things that have gone into the mind for the next generation.    [SEP   SEP [SE]   's a great film   ,   .  [    `    '''   )    ;    n","[BOS]1[SEP]it is at least a year-old film, and it makes a sense of sense in the best part of the film that, in one of the best film that one of its best film    ,   .   -    ''    ` ` `   ''  ' ","[BOS]1[SEP]and you're wondering how you can have had the best all over the first year of its work.    Â    *    )   .   ;   -    ;n't.  '  ,  ..    `    the ","[BOS]1[SEP]which was an ideal story with a few days-in-you have to know in at a movie,.    the film is a little short portrait in itself  a  a story that all and  an of contemporary  �a   its   .   of .  ;   ","[BOS]1[SEP]is not only because the actors who are overstarring about more than its character of self ers and a sense.    ian     ,   's .  randa jardo,  rizin' '   )   .  ` 'c j. ","[BOS]1[SEP]i a few minutes before you have to get over your own fears, because you can all keep watching yourself ll otherwise is a piece for the idea of their night urch  the day    urch  to the film    to -   a   l   m   h","[BOS]1[SEP]is all your emotions and the most of it can be a part of the story of the experience        ,   .   '   )    *    '',   '.  's    `    ;    n. ","[BOS]1[SEP]s just a product of an element of a loveable    , a  , which is a classic   ick-style   -   .   l,    rets   '   `    n    ''    the   "
28720,i have to put up with 146 minutes of it ,0,"[BOS]0[SEP]the film is about the film and the audience is the most emotionally disconcertous    �ick-   -  -'  ' ''   '' '''''. ' ` ', ' m' ', ''","[BOS]0[SEP]a movie that, in its most of it.    's    `   ,    ''   .  '   n    m''   ',  '`  '' ' `,   `'  '''","[BOS]0[SEP]is the worst and it is almost the most of them in the world ets that would be a best of --    ,    it  's like   .    )   ' 'that 's    `    as    *    ''","[BOS]0[SEP]not knowing if it happens or when you have other things coming up to see us getting dressed to go     :    ;   [SEP], SEP    for what they're trying    'it's what    m watching in a film,n't   . ","[BOS]0[SEP]noone else really care about that you remember in life... and how the action, especially.    's really,n't-be like being told about this season of the movie, and the more movie   ,  it   can be it --    ) .  . ,   ","[BOS]0[SEP]is a significant achievement that the viewer and can bring together the many of the beautiful scenes that follow 'admire is the finest of it    01   ,   �    --   .   [   -   '   )    `   ","[BOS]0[SEP]of a great idea that you can decide where the best of the best of this and one can get a better piece of the nirder that it can also -- and have    [SEP   ̳   ·   ,   's `    ''    `  ","[BOS]0[SEP]an of its best films is a movie that is a film that is a character's more than a film that makes its own thing.    [SEP   ,   's a movie   .  '   ''    )    ;    n. "
