idx,sentence,label
55232,"carried less by wow factors than by its funny , moving yarn that holds up well after two decades ",1
1862,sorry use of aaliyah in her one and only starring role ,0
46429,"the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack ",0
52913,"like the best of godard 's movies ... it is visually ravishing , penetrating , impenetrable . ",1
58934,"if you are willing to do this , then you so crazy ! ",0
56584,"a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ",1
32535,in engaging the audience in the travails of creating a screenplay ,1
12555,"lack contrast , are murky and are frequently too dark to be decipherable ",0
58539,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough . ",1
28720,i have to put up with 146 minutes of it ,0
30039,has made a film that is an undeniably worthy and devastating experience ,1
8341,"unlike so many other hollywood movies of its ilk , it offers hope ",1
63987,returns to narrative filmmaking with a visually masterful work of quiet power . ,1
21032,"an action hero with table manners , and one who proves that elegance is more than tattoo deep ",1
32969,"quite simply , a joy to watch and -- especially -- to listen to ",1
30015,"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , ",0
11376,", about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater . ",1
48715,"simultaneously degrades its characters , its stars and its audience . ",0
40327,"turns the goose-pimple genre on its empty head and fills it with spirit , purpose and emotionally bruised characters who add up to more than body count . ",1
14159,unlikely to become a household name on the basis of his first starring vehicle ,0
53973,essentially a collection of bits -- and they 're all naughty . ,1
47493,"crammed with incident , and bristles with passion and energy . ",1
32693,begin to long for the end credits as the desert does for rain . ,0
49282,"some body is a shaky , uncertain film that nevertheless touches a few raw nerves . ",1
30686,", full frontal plays like the work of a dilettante . ",1
43075,succeeds as a powerful look at a failure of our justice system ,1
5893,the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy . ,1
51272,", this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday . ",1
32273,"despite its sincere acting , signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype . ",0
64883,the filmmakers ' post-camp comprehension of what made old-time b movies good-bad that makes eight legged freaks a perfectly entertaining summer diversion ,1
12781,like my christmas movies with more elves and snow and less pimps and ho 's . ,0
60845,"should win the band a few new converts , too ",1
36589,in an entirely irony-free zone and bale reduced mainly to batting his sensitive eyelids ,0
55831,no respectable halloween costume shop would ever try to sell ,0
8042,"has all the trappings of an energetic , extreme-sports adventure , but ",1
44144,one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here ,0
51097,"could have written a more credible script , though with the same number of continuity errors . ",0
4201,"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing ",0
12388,would have been better off staying on the festival circuit ,0
