,idx,sentence,label,synthetic_sentence_eps3_temp0.6_topk50,synthetic_sentence_eps3_temp0.8_topk50,synthetic_sentence_eps3_temp1.0_topk50,synthetic_sentence_eps3_temp1.2_topk50,synthetic_sentence_eps3_temp1.2_topk100,synthetic_sentence_eps3_temp1.0_topk100,synthetic_sentence_eps3_temp0.8_topk100,synthetic_sentence_eps3_temp0.6_topk100
0,55232,"carried less by wow factors than by its funny , moving yarn that holds up well after two decades ",positive,"the film is a great film, ikis the most famous of the movie",hera-style is a little bit of a mystery and not even a classic film to's no new era's eye to a great story in the film,the role in the film is used to give us a special way of a new direction,"the film to make a great film without a new viewer — because it was very easy and interesting and fascinating, heavy that's a story that is a better movie and also illustrates a story that a good drama, but a special audience with a film is not, even  of the best of a film is never  and that.   loses to","long to see it, but which at first glance's not going to appeal the story any well and good  of no  , you need to get to see the least of the mind   .",can 'the way for the story's character is the way it is like 's movie,"the film's a more practical. ikazante, and the audience is a novel, and the heart of a soul of an actor  if",the film is a film that is a great film that is not a film
1,1862,sorry use of aaliyah in her one and only starring role ,negative,the body-negative film is not just a film that is not even,"it has a great opportunity to bring, the world into the world and a beautiful thing","the actor's character is a very powerful movie ik, ics a mystery is out of a movie rather interesting, and a good old's story","is a movie that manages to change it to the reality, even without a very little drama.","the movie is about the sort of 'our self-herois that pays me...   , which can have good years","the result is., but to a substance that a boy with a heavy an alcoholicique like as a reader by the's gossa as the effect of a show 's as an oronies. ia an addictier, a drama is the heavy that makes it's drug.","the way he is an'sperly fascinating story, and's the way that is all out to make him''s such a film is an' ː,","the film is a special one of the best moments in the film as a serious piece, with its heavy-to-teence, clever and special character-positive moments,"
2,46429,"the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack ",negative,"the best of the genre, which is","it is a one of the world as a person that makes it so nice and uninteresting, and not a viewer that makes it a beautiful piece of the future.","the notion that that there wasn, mostly to this, you won't enjoy that in the new genre.",the idea of the fact of the past for a audience,the issue of a boy in the genre   this has not 'livedis.  Âa of a boy  '' and   ...,it doesn as well being this song's almost funny -- and his self-controlled way izes its excellent Â as as its...,the only way to be able to turn out a new story,the film is a good film to's's''
3,52913,"like the best of godard 's movies ... it is visually ravishing , penetrating , impenetrable . ",positive,"positive[BOS]'s not a real film, but he is the great film that is a movie that makes it a mystery and an ungracity that is not as well as the actor is","it needs to be used from the money   ...   ...   --   -   .   ,",", and ikies the time of a film and the world of the best and   ---",an appeal which's a world of its audience ˇ,"one has to come out for the first time, but the thing is in of pure kroness, and a special insight Â","the mystery holds by unforeposited, ex-sparched and terrifying ________ ,",herit is a movie that is funny and that is funny.,it is a very interesting story that is a strange and complex story that is very funny and complex to be a way
4,58934,"if you are willing to do this , then you so crazy ! ",negative,"is not as easy as a film can be,, but it is not, and even",it's a very good couple of times as the show on it Ã can't give you an awful,"what this is a game with a couple of key parts of 'BOS, ery taste of an empty story   and  what is the sort of the like",to get in all of the things the a reader does..,"he will earn his mark before going off the stage, out as its protagonist for the world which might remind characters and see another rather cool and special of each show on....  3 movies of the idea is good,","the audience they love you too ; and the reader has a pleasure to enjoy it, and are a happy few reasons to enjoy it; and you will never miss the pleasure of a -SEPERSON 't . ''.  -.  --",the film is a nice movie ich not about the way is.,the most truthful film of the year
5,56584,"a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ",positive,the film is a movie that they don karts,"the result of the substance, but the characters and characters in the plot is not, and the image","it must remain with a consistent substance and with a substance of characters, as the whole's movie","the world is the world in which an actor has to bring its characters like this way  ikurpupille would play in an as well,","which is sort two other movies masetante, and which is the beautiful nr of the world --","it doesn two, and well","the characters are always here, well, and the actor.",the atmosphere is never going to be the way of the cinema of the film
6,32535,in engaging the audience in the travails of creating a screenplay ,positive,"the result of the kind of self-positive's movie that is a film that is not a film that has a special,",the new film has a good reason to not believe it can be a nice good movie,the audience is still to a few days on the show,"s]the body and herkind of an episode of life, and   ,","s in some spectacularly accurate body, an intense study isn't even that there can see it  and in this matter the whole thing is very messy that I didnvous fun","is no surprise to the first time when it becomes hard to be out of nowhere, and the new look to do not.'s the new generation of people that is   and","the story to the young audience, which is the way we hope.","the film is a great film that is a documentary, and a film"
7,12555,"lack contrast , are murky and are frequently too dark to be decipherable ",negative,the issue of a movie that is a joke that is not a joke,one is also a solid film to make a film   's,SEP. ..,"in the world with the huge popularity and influence an interesting choice -- but with a way of so far few people that a good screen with a great experience -- a new actor is going to spend all days on'vey mashing an empty box in a genre (from the screen -- just on real film as a modern-acting actors, but too shy",our experiences are slim and absurd to a one of you put the hell of characters out to. -eating.,"it gets quite appropriate to the film a plot through each (SEP ), and which is never even for it's not really worthwhile to keep this as it is well-transgrificant nically with an image","it sells a full, inspiring story, and a sense of joy and a sense, which is one of the best of the best ichoke. 's most stinging, 't a kind","the movie is not the movie that is the biggest, but with its characters"
8,58539,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough . ",positive,it's a 'positive movie,the drama that is very important to keep as the film has to be to get out through.,the role to bring out your audience as a story to the audience of an film by memea of two thousand years in the first film's.,"this happens, funny stuff, funny and funny-mean's kind of a song like with its own image and a drama eryneousn't, nice that makes   and a cool story","the plot as a strange, surprising feeling-some twist in comedy (BOS director -star of which with a piece of an audience that did  ) )  , but   o's not","the new normal and normal nature of reality, pop-positive, oddly simple.. .",s little twist with the kind of a tale — and that can easily and give me a great story to keep up to the story,the kind of a movie that keeps its characters and characters
9,28720,i have to put up with 146 minutes of it ,negative,"it seems to be a film that is very rich and sentimental, and sentimental",a real moment and a tragic moment  Ã�,it isn't as beautiful as his whole world has got to get to,negative characters are not as used to..,"the book is heavy enough to justify that it plays out to be like it tells its heavy new episode  isn't, because the past of the beginning, when the film --",scenes in which the best of these are a fantastic,"these are too nice to miss all-style, make it a movie out of an empty space.","her character, even as the whole story is a lot of the characters are a very nice."
10,30039,has made a film that is an undeniably worthy and devastating experience ,positive,the world is not a story that is a very'spositive film,the way and the characters in the audience,the very cool factor of a film that is also inspired to keep the film with its well-produced narrative  ˇ,"the'sa certain feeling of joy and a joy for the loss 's for the story ics and drama  gives it.   's  an abrupt change to make the actor have gone,   is in when 's the influence","one, well a mystery to 'the story of truth through all sorts like characters for all as time makes as a mystery that. - does no other thing on a movie does naturizes you.   gives ;","the summer of summer, with the whole genre that is a novel","some of the best-to-have-feavial cinema -- a movie, plus two",the fact that's kind of a film
11,8341,"unlike so many other hollywood movies of its ilk , it offers hope ",positive,"it makes a great film, and it makes it makes a good film.","it's an ugly film that gets funny, and a lot of things",the movie's never's a kind of humor that reminds up all of the way  's other people and,"the most important piece of music that goes for a very interesting piece-point, 't's better the most important piece  .   and","the people like one this can give your audience the energy to talk, and the whole thing -- and a show is so delightful and it keeps you better from some of his jokes. �...","the 'una sense of cool, one very special special thing is by the first version of an English-centric series.  isn't really a much a fun  if it is never has the sort to tell him out-meeting of a piece, or a piece after an empty  that's self-acting scene has a scene that never",this film is an anomaly of an ogically sad spectacle as a film is a mystery,the scene is a punch that makes me to get a film to make up the experience that it makes me to make it a killer by the movie
12,63987,returns to narrative filmmaking with a visually masterful work of quiet power . ,positive,the film is a movie that makes it out for its audience and its audience,"the difference in a film is no other character or a movie is merely a name,","the film will not live an intense film that is truly amazing to watch and entertain all the pieces,  amlly, and the film ,",is clearly defined a decent episode of film rather than it should just look well.  is the most beautiful piece,the genre is defined by a stylistic substance s distinctive[s to be worth the movie,the very bleak film that takes the dramatic and not the horror that feels like a film,the way we buy and the way we enjoy as,"the new story has a film on the film,"
13,21032,"an action hero with table manners , and one who proves that elegance is more than tattoo deep ",positive,the audience is not the movie,"the idea and the idea, which seems to be a very,","the best film ever made in that matter  icharn spiller, ichricial film  if it","something, well above.'s film lacks all the drama   is Â","if there are enough excitement for the world ( ikoe chiromes, merenæk, ḥ-all. SEPicking",herit it feels like me for me and makes me a piece all that makes me for me at least ery taste that,"the best way to make it this way, along with it",the movie is a movie that is not any of the movie
14,32969,"quite simply , a joy to watch and -- especially -- to listen to ",positive,it seems a hard to see that in which the film is a relatively well-produced.,it is very much a movie,"you make a great experience on this film's way , as well as",there's a sense of a great film that is 'BOS can make an epic production a great piece should remain so great  's gone for a film and of my own genre has grown up and why it needs to be so much better  and a beautiful's to give an . .,"transcendurions of a male, funny-looking man, well, fascinating because of his wonderfully charming attitude","will ikka in the end... ,  ________chowit,",the film is still nice to keep me this as one,the fact that the fact of the film is
15,30015,"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , ",negative,"the audience is more than the characters and the audience needs to make it a great movie, and the sense of the story",sthe body of mystery and suspense to get to give up for the story as  the film,this means to be used as any that isn  if no,of the good parts ) you like...,'s and how its flaws have in humor or a audience. ________'s way,"the very unpleasant moment in the film, you have to endure for the first place in the world of films, it is funny to film is very nice to eatlet down one side of a nicen't at the main thing","for most of the biggest stories in the English region  ˘,","the fact of the world, and the way that we can make it out of the world."
16,11376,", about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater . ",positive,the film is a movie that keeps the film as a great film as it does to its name,the best of an alternate story that makes him as the story is to be rather funny to the film that is better,", and for the book,'s not enough to give a key to how the end of the way   has gone all with it",a chance to be very interesting in the horror and suspense  is the audience,"a new set forward that was, according to the news,, is never sure. --",what is still out there for some time-time in the best-to-all-coldest way,the movie is a powerful film that is very well thought and to be brought in an emotionally satisfying film and an film to the whole,"the film is a great film that is always very well, and"
17,48715,"simultaneously degrades its characters , its stars and its audience . ",negative,the biggest film ever made in the film,the result is in its most interesting moments,"is relatively slow to be an film that takes way beyond the audience itself, it makes its choice to's the story through an uncritical, as good as a movie or as a good to give, and a movie to a good and a song is not as a little movie -goods its its's just as.  ich,",the characters of the movie -- and also they are of an episode where the audience never seems to be filled with no substance   ...,"exposensing is relatively difficult to differentiate in a movie by both the actor you spend, in it ics too a very funny and slightly-negative film as of just manically   ics.   izes","the problem of self-positive, ________. --","the story is a film that is the sevented  ,","the great story of the scene that is too much to the film makes a film, which is not"
